comments,sentiments
You can connect to the world but become irrelevent to your own surrounding,negative
internet and social media keeps us updated,positive
There are many activities on social media which are made to make us aware,positive
Some activities have more negative influences,negative
Everyone gets information,positive
People can stay in touch with latest news trends,positive
Information can be inaccurate,negative
it establishes connections,positive
Facilitates communication,positive
It makes social work easier,positive
It spreads misinformation ,negative
It increases hate speech,negative
In this fast paced world it is best way to connected with friends and family,positive
It helps in socializing,positive
Anyone can get access to knowledge easily from any part of world,positive
It can be complete time waste for teenagers,negative
It can cause a lot of social and moral abuse,negative
It can isolate people from their family,negative
It is the best advertising tool,positive
Companies can advertise their products on large scale,positive
It find its way in finding criminals,negative
People post videos doing illegal things and they get caught,negative
People get addictetd to it,negative
Youth is spending most of their time on social media and wasting their abilities,negative
People waste their whole day without even realizing it,negative
Harrasment is done through it,negative
Interaction increases,positive
It increases our confidence level,positive
Information can be easily send within seconds,positive
Informative sites increase our knowledge,positive
It is easy to do buisness through online services,positive
It causes health issues,negative
It causes privacy issues,negative
It is wastage of time,negative
People ignore their families completely,negative
It nurtures and expands relationship,positive
Improve communication and strengthen human connections,positive
It allows cyberbullying,negative
It is possible to find others who share the same interests and concerns,positive
It connect us with people around the world,positive
It helps us to see our loved one's even when thay are far from us,positive
It helps us to know what going on around the world,positive
It brings distance among people even when they are under same roof,negative
Instead of helping poor we just upload sympathetic post about them,negative
It has exponentially increased the resources for mental health information and support,positive
Many people find it easier to share problems and feelings openly on social media,positive
Social media boost productivity,positive
No geographic limitation,positive
It invites us to compare ourselves with others,negative
It is source of global connection,positive
It allows us to spread our ideas,positive
It create space for cyber crime,negative
Privacy is lost,negative
Social media platforms have significantly enhanced the resources for individuals wrestling with behavioural issues,positive
In the event of crisis this can truly be life saving,positive
Web based support communities have been credited with saving people from sucide and accidental drug overdoses,positive
Online groups pull members from all over the world,positive
It can host large numbers of people adding to the pool of knowledge and experience,positive
People's habits can be easily monitored,negative
Stalking is a major issue,negative
Social media can connect dissatisfied and misguided people together,negative
Enhance terrorist attacks,negative
Teens and young adults are considered particularly at risk to negative effects,negative
For people with insecurities hearing about other people's happiness can deepen feelings of inferiority,negative
Library full of encyclopedias accessible at any time of day or night,positive
Improved job performance and employment prospects,positive
It gives small buisness owners the power to be more competitive with large companies,positive
It is detrimental to face to face interaction,negative
It helps in marketing,positive
People can share their pictures here,positive
